,City ID,City Name,Country,Latitude,Longitude,Temp,Humidity,Clouds,Winds
89,3832899,mahebourg,MU,-20.41,57.7,82.4,69,75,12.75
90,3832899,thompson,CA,55.74,-97.86,-14.8,75,75,0.94
91,3832899,porto novo,BJ,6.5,2.6,78.8,94,40,2.24
92,3832899,saint-augustin,CA,51.23,-58.65,28.78,96,96,9.98
93,3832899,upernavik,GL,72.79,-56.15,9.43,83,53,6.58
94,3832899,port elizabeth,ZA,-33.92,25.57,71.6,94,90,9.17
95,3832899,cape town,ZA,-33.93,18.42,71.62,68,0,19.46
96,3832899,yurginskoye,RU,56.82,67.39,11.64,94,100,12.48
97,3832899,hvide sande,DK,56.0,8.13,43.0,77,92,16.28
98,3832899,taoudenni,ML,22.68,-3.98,56.16,48,0,12.41
99,3832899,qaqortoq,GL,60.72,-46.03,26.6,68,88,6.93
100,3832899,ikon-khalk,RU,44.31,41.91,31.62,95,100,6.98
101,3832899,tinaquillo,VE,9.92,-68.3,68.18,91,21,3.8
102,3832899,tilzapotla,MX,18.48,-99.27,66.0,63,79,1.41
103,3832899,cidreira,BR,-30.18,-50.21,66.09,72,79,6.89
104,3832899,kerema,PG,-7.96,145.78,84.67,71,4,7.96
105,3832899,jizan,SA,17.33,42.67,78.8,83,20,3.36
106,3832899,san quintin,MX,30.48,-115.95,60.53,40,63,5.75
107,3832899,evensk,RU,61.95,159.23,2.25,83,96,15.37
108,3832899,geraldton,AU,-28.77,114.6,93.2,28,0,23.04
109,3832899,punta arenas,CL,-53.15,-70.92,42.39,75,43,13.87
110,3832899,norman wells,CA,65.28,-126.83,-32.8,66,75,5.82
111,3832899,bonthe,SL,7.53,-12.51,77.34,84,8,2.48
112,3832899,seoul,KR,37.57,126.98,39.2,44,1,4.7
113,3832899,hilo,US,19.73,-155.09,69.55,88,90,4.7
114,3832899,jacqueville,CI,5.21,-4.41,80.06,83,63,7.05
115,3832899,bandarbeyla,SO,9.49,50.81,77.86,76,61,23.0
116,3832899,port arthur,CN,38.8,121.27,41.0,35,0,17.9
117,3832899,pisco,PE,-13.7,-76.22,66.11,82,0,11.41
118,3832899,qaanaaq,GL,77.48,-69.36,-0.58,70,85,5.37
119,3832899,sitka,US,57.05,-135.33,37.4,86,40,6.93
120,3832899,lagoa,PT,39.05,-27.98,62.87,79,99,29.59
121,3832899,onguday,RU,50.75,86.15,16.74,82,80,3.96
122,3832899,yerbogachen,RU,61.28,108.01,-21.19,86,0,4.43
123,3832899,yurgamysh,RU,55.37,64.47,11.17,94,96,16.91
124,3832899,sao filipe,CV,14.9,-24.5,72.19,72,62,11.92
125,3832899,kapaa,US,22.08,-159.32,74.28,83,40,17.22
126,3832899,lagos,NG,6.58,3.75,76.32,92,10,1.83
127,3832899,albany,US,42.6,-73.97,32.14,74,66,3.65
128,3832899,torbay,CA,47.67,-52.73,21.2,92,20,6.93
129,3832899,labuhan,ID,-6.88,112.21,87.42,61,98,8.1
130,3832899,yishui,CN,35.78,118.63,41.61,55,0,6.04
131,3832899,longyearbyen,SJ,78.22,15.64,10.4,66,75,20.8
132,3832899,nkhata bay,MW,-11.61,34.29,81.05,62,90,4.03
133,3832899,esso,RU,55.93,158.7,-1.16,84,7,5.57
134,3832899,gharo,PK,24.74,67.59,71.6,19,40,7.02
135,3832899,faanui,PF,-16.48,-151.75,81.36,66,99,1.21
136,3832899,port hardy,CA,50.7,-127.42,40.59,100,75,5.82
137,3832899,yerofey pavlovich,RU,53.97,121.97,4.82,91,100,2.66
138,3832899,nuevo progreso,MX,23.17,-97.95,64.87,67,1,2.35
139,3832899,isangel,VU,-19.55,169.27,79.11,77,3,11.79
140,3832899,butaritari,KI,3.07,172.79,81.64,79,56,13.49
141,3832899,gat,IL,31.61,34.76,54.01,81,0,1.12
142,3832899,felanitx,ES,39.47,3.15,44.53,93,20,2.24
143,3832899,sawtell,AU,-30.38,153.1,73.22,94,90,5.82
144,3832899,hofn,IS,64.25,-15.21,35.08,82,85,14.5
145,3832899,tarko-sale,RU,64.92,77.78,-29.97,83,88,15.32
146,3832899,new norfolk,AU,-42.78,147.06,65.41,50,100,9.13
147,3832899,peniche,PT,39.36,-9.38,56.71,91,94,8.01
148,3832899,luangwa,ZM,-15.62,30.42,77.61,83,100,4.38
149,3832899,imeni poliny osipenko,RU,52.42,136.49,-4.95,90,52,2.39
150,3832899,grand gaube,MU,-20.01,57.66,82.99,71,5,10.0
151,3832899,grindavik,IS,63.84,-22.43,35.6,80,75,24.16
152,3832899,coquimbo,CL,-29.95,-71.34,55.4,87,0,3.36
153,3832899,tuktoyaktuk,CA,69.45,-133.04,-36.4,65,40,4.7
154,3832899,bethel,US,41.37,-73.41,32.02,98,90,1.63
155,3832899,bemidji,US,47.47,-94.88,29.12,100,90,5.82
156,3832899,shenjiamen,CN,29.96,122.3,48.16,59,32,9.42
157,3832899,vao,NC,-22.67,167.48,76.66,78,9,12.62
158,3832899,daye,CN,30.08,114.95,49.77,46,0,3.06
159,3832899,saint george,US,37.1,-113.58,37.4,37,1,2.84
160,3832899,znamenskoye,RU,57.13,73.83,12.0,94,100,11.81
161,3832899,nishihara,JP,26.18,127.76,61.95,55,90,11.41
162,3832899,nantucket,US,41.28,-70.1,42.89,93,90,5.82
163,3832899,virginia beach,US,36.85,-75.98,43.99,99,99,12.15
164,3832899,arbagar,RU,51.94,116.28,16.77,89,100,5.66
165,3832899,lebu,CL,-37.62,-73.65,52.88,87,0,20.02
166,3832899,bredasdorp,ZA,-34.53,20.04,68.0,88,75,11.41
167,3832899,ust-nera,RU,64.57,143.2,-30.51,75,99,4.09
168,3832899,klaksvik,FO,62.23,-6.59,42.8,93,14,4.7
169,3832899,teluknaga,ID,-6.1,106.64,83.66,74,40,11.41
170,3832899,koungheul,SN,13.98,-14.8,67.5,25,69,6.98
171,3832899,usinsk,RU,65.99,57.53,-5.76,88,61,6.82
172,3832899,malakal,SS,9.53,31.66,83.71,20,36,13.35
173,3832899,te anau,NZ,-45.42,167.72,55.02,93,100,0.83
174,3832899,buy,RU,58.48,41.53,33.76,96,100,7.05
175,3832899,presidencia roque saenz pena,AR,-26.79,-60.44,66.99,68,3,3.0
176,3832899,los llanos de aridane,ES,28.66,-17.92,59.25,93,75,5.82
177,3832899,nanortalik,GL,60.14,-45.24,27.52,94,100,8.97
178,3832899,ribeira brava,PT,32.65,-17.07,56.93,77,20,4.7
179,3832899,lubango,AO,-14.92,13.49,61.75,50,73,1.83
180,3832899,kondinskoye,RU,59.65,67.41,4.26,94,63,9.84
181,3832899,provideniya,RU,64.38,-173.3,-6.32,88,33,13.11
182,3832899,lata,PT,40.16,-8.33,54.45,94,100,4.56
183,3832899,egvekinot,RU,66.32,-179.17,-16.51,84,9,15.48
184,3832899,teknaf,BD,20.86,92.31,75.52,47,26,4.25
185,3832899,santa isabel do rio negro,BR,-0.41,-65.02,73.83,96,95,1.07
186,3832899,maningrida,AU,-12.07,134.27,88.3,67,37,14.79
187,3832899,inhambane,MZ,-23.86,35.38,82.2,74,20,2.24
188,3832899,flinders,AU,-34.58,150.86,72.3,83,100,3.0
189,3832899,luderitz,NA,-26.65,15.16,60.8,93,85,4.36
190,3832899,klyuchevsk,RU,57.12,60.94,10.4,78,90,17.9
191,3832899,lyaskelya,RU,61.77,31.02,37.51,95,100,9.95
192,3832899,valparaiso,CL,-33.04,-71.63,53.6,87,0,3.36
193,3832899,phulabani,IN,20.47,84.23,75.24,21,3,5.5
194,3832899,maputo,MZ,-25.97,32.59,80.56,74,75,13.87
195,3832899,lac du bonnet,CA,50.25,-96.06,16.48,78,100,17.22
196,3832899,kruisfontein,ZA,-34.0,24.73,71.01,94,94,3.0
197,3832899,atherton,GB,53.52,-2.49,41.52,89,80,1.01
198,3832899,la rioja,ES,42.25,-2.5,42.8,93,90,6.49
199,3832899,suez,EG,29.97,32.53,58.89,74,0,6.44
200,3832899,xingyi,CN,24.19,102.82,55.24,54,69,4.29
201,3832899,horn,DE,51.87,8.95,39.94,96,19,7.38
202,3832899,okato,NZ,-39.2,173.88,64.98,69,100,1.99
203,3832899,launceston,AU,-41.45,147.17,66.18,52,90,8.05
204,3832899,talnakh,RU,69.49,88.4,-32.8,66,32,8.95
205,3832899,kalmunai,LK,7.42,81.82,80.53,82,92,14.27
206,3832899,carnarvon,AU,-24.87,113.63,102.2,29,0,12.75
207,3832899,baykit,RU,61.67,96.37,-7.04,86,100,2.98
208,3832899,mehamn,NO,71.04,27.85,41.0,75,75,16.11
209,3832899,nyazepetrovsk,RU,56.05,59.6,4.35,91,91,14.34
210,3832899,chateauroux,FR,46.82,1.7,48.2,87,100,8.05
211,3832899,vanimo,PG,-2.67,141.3,78.8,86,100,15.84
212,3832899,krasnovishersk,RU,60.41,57.08,9.14,95,98,5.28
213,3832899,rawson,AR,-43.3,-65.1,66.06,38,19,15.1
214,3832899,zhanaozen,KZ,43.3,52.8,27.25,96,98,14.92
215,3832899,caravelas,BR,-17.71,-39.25,76.51,85,23,8.46
216,3832899,esperance,AU,-33.87,121.9,68.0,52,73,16.11
217,3832899,camacari,BR,-12.7,-38.32,80.6,78,40,11.41
218,3832899,saskylakh,RU,71.92,114.08,-29.74,84,100,6.85
219,3832899,bombay,IN,19.01,72.85,81.52,32,0,10.29
220,3832899,pishin,PK,30.58,67.0,47.07,51,0,2.8
221,3832899,togur,RU,58.36,82.83,4.32,94,100,10.2
222,3832899,shu,KZ,43.6,73.76,17.2,96,89,4.83
223,3832899,kavieng,PG,-2.57,150.8,85.51,66,52,3.36
224,3832899,chiredzi,ZW,-21.05,31.67,77.83,73,38,9.15
225,3832899,spiridonovka,RU,53.09,50.65,-2.2,84,0,4.47
226,3832899,alexandria,EG,31.22,29.96,53.6,87,0,4.7
227,3832899,putina,PE,-15.47,-69.43,44.85,82,100,11.12
228,3832899,natal,BR,-5.79,-35.21,75.2,88,75,3.36
229,3832899,codrington,AU,-38.27,141.97,54.77,93,100,17.92
230,3832899,fremont,US,37.55,-121.99,47.68,81,5,4.7
231,3832899,college,US,64.86,-147.8,-2.22,70,75,5.82
232,3832899,miri,MY,4.41,114.01,84.11,83,40,12.75
233,3832899,cabo san lucas,MX,22.89,-109.91,62.69,73,85,1.01
234,3832899,kihei,US,20.79,-156.47,70.81,73,40,13.87
235,3832899,kargopol,RU,61.51,38.95,34.99,96,100,7.74
236,3832899,ust-uda,RU,54.17,103.03,22.15,92,57,6.73
237,3832899,knysna,ZA,-34.04,23.05,68.0,100,90,5.82
238,3832899,lichinga,MZ,-13.31,35.24,69.4,83,75,10.29
239,3832899,nome,US,64.5,-165.41,-14.67,69,90,5.17
240,3832899,rocha,UY,-34.48,-54.33,54.54,87,20,8.21
241,3832899,viransehir,TR,37.24,39.76,47.41,63,99,5.79
242,3832899,taksimo,RU,56.34,114.88,0.73,89,99,0.81
243,3832899,souillac,MU,-20.52,57.52,82.4,69,75,12.75
244,3832899,phuket,TH,8.0,98.25,85.05,58,20,11.41
245,3832899,mount gambier,AU,-37.83,140.77,57.2,93,90,6.93
246,3832899,novita,CO,4.96,-76.61,72.91,90,97,2.24
247,3832899,aklavik,CA,68.22,-135.01,-30.05,73,100,3.36
248,3832899,nieuw nickerie,SR,5.95,-56.98,77.56,87,92,7.65
249,3832899,lasa,IT,46.62,10.7,34.77,78,5,3.36
250,3832899,urubicha,BO,-15.38,-62.95,72.23,93,55,2.1
251,3832899,kohima,IN,25.67,94.12,69.8,56,0,0.45
252,3832899,hukuntsi,BW,-24.0,21.75,71.83,69,100,18.19
253,3832899,harper,LR,4.38,-7.72,77.92,86,13,7.0
254,3832899,palu,ID,-0.89,119.87,88.63,56,100,5.28
255,3832899,kodiak,US,57.79,-152.41,28.4,58,1,6.93
256,3832899,zalesovo,RU,53.99,84.74,1.31,91,100,16.26
257,3832899,lugoba,TZ,-6.45,38.33,79.54,81,34,5.44
258,3832899,boa vista,BR,2.82,-60.67,78.8,74,40,11.41
259,3832899,bacabal,BR,-4.29,-44.79,73.08,95,76,3.74
260,3832899,bukan,IR,36.52,46.21,36.7,70,0,2.77
261,3832899,eunice,US,30.49,-92.42,41.0,100,90,2.55
262,3832899,bandundu,CD,-3.32,17.37,70.75,90,100,3.24
263,3832899,la orilla,MX,17.98,-102.23,72.9,82,3,5.7
264,3832899,hamilton,US,39.18,-84.53,35.58,84,75,6.93
265,3832899,bambous virieux,MU,-20.34,57.76,82.69,69,75,12.75
266,3832899,oussouye,SN,12.48,-16.55,69.22,26,85,8.55
267,3832899,buchanan,LR,5.88,-10.05,75.2,94,75,2.62
268,3832899,bacolod,PH,10.67,122.95,86.79,68,37,9.31
269,3832899,la ligua,CL,-32.45,-71.23,50.74,78,0,0.94
270,3832899,baruun-urt,MN,46.68,113.28,7.66,89,0,20.83
271,3832899,zeya,RU,53.75,127.27,-6.43,87,96,2.46
272,3832899,burgeo,CA,47.62,-57.62,33.85,89,100,12.28
273,3832899,burnie,AU,-41.07,145.92,60.01,76,100,8.01
274,3832899,waingapu,ID,-9.66,120.26,87.98,64,100,14.05
275,3832899,tateyama,JP,34.98,139.87,51.57,50,40,5.82
276,3832899,aguimes,ES,27.91,-15.45,64.13,82,75,12.75
277,3832899,tamasopo,MX,21.93,-99.48,49.8,99,20,0.72
278,3832899,latung,PH,5.5,120.88,82.98,77,83,14.5
279,3832899,bilma,NE,18.69,12.92,60.31,31,0,3.36
280,3832899,kenai,US,60.55,-151.26,21.4,92,90,4.7
281,3832899,tessalit,ML,20.2,1.01,51.8,44,1,10.67
282,3832899,arman,RU,59.7,150.17,-10.16,84,84,13.27
283,3832899,itaueira,BR,-7.6,-43.03,71.74,90,67,2.57
284,3832899,moose factory,CA,51.26,-80.61,15.8,78,90,14.99
285,3832899,gaoyou,CN,32.79,119.43,44.67,53,0,4.27
286,3832899,sao raimundo nonato,BR,-9.02,-42.7,72.36,86,77,1.72
287,3832899,victor harbor,AU,-35.57,138.62,64.31,70,80,5.01
288,3832899,opuwo,NA,-18.06,13.84,67.14,38,90,2.04
289,3832899,ulaanbaatar,MN,47.91,106.88,3.2,59,48,2.24
290,3832899,wum,CM,6.38,10.07,64.2,40,16,2.89
291,3832899,sulangan,PH,11.14,123.72,83.68,74,32,7.2
292,3832899,batagay-alyta,RU,67.8,130.41,-38.2,80,98,0.47
293,3832899,nelson bay,AU,-32.72,152.15,69.21,94,90,8.05
294,3832899,university park,US,25.75,-80.37,70.79,88,20,6.93
295,3832899,tyazhinskiy,RU,56.12,88.52,7.21,91,96,14.54
296,3832899,manbij,SY,36.53,37.95,42.8,78,75,8.72
297,3832899,russell,US,32.35,-85.2,45.68,93,90,4.99
298,3832899,kasempa,ZM,-13.46,25.83,67.28,89,89,3.69
299,3832899,saint-francois,FR,46.42,3.91,35.6,100,100,3.36
300,3832899,bireun,ID,5.2,96.7,82.47,76,88,10.4
301,3832899,ust-koksa,RU,50.27,85.61,14.4,84,89,6.08
302,3832899,saint-pierre,RE,-21.34,55.48,81.25,74,0,18.34
303,3832899,comodoro rivadavia,AR,-45.87,-67.5,62.6,45,0,18.34
304,3832899,leningradskiy,RU,69.38,178.42,-6.03,89,100,3.98
305,3832899,zalantun,CN,48.0,122.72,24.1,77,89,6.73
306,3832899,husavik,IS,66.04,-17.34,33.8,80,90,13.87
307,3832899,prince albert,CA,53.2,-105.77,15.8,85,90,2.24
308,3832899,kahului,US,20.89,-156.47,71.06,73,40,13.87
309,3832899,sorong,ID,-0.88,131.25,84.99,69,100,6.51
310,3832899,solano,US,38.23,-121.95,41.88,80,1,3.36
311,3832899,pilot butte,CA,50.47,-104.42,31.75,96,90,24.16
312,3832899,san pedro,PH,14.35,121.02,84.67,74,75,4.7
313,3832899,poltavka,RU,54.37,71.76,5.32,88,100,20.94
314,3832899,qingdao,CN,36.1,120.37,41.0,35,0,4.47
315,3832899,alice town,BS,25.72,-79.3,75.43,82,0,18.84
316,3832899,vila velha,BR,-20.33,-40.29,77.0,88,0,8.05
317,3832899,niimi,JP,34.98,133.47,45.84,45,40,10.29
318,3832899,georgetown,MY,5.41,100.34,87.4,62,20,9.17
319,3832899,leh,IN,34.17,77.58,19.74,72,67,2.75
320,3832899,louga,RU,58.74,29.85,31.95,98,100,8.16
321,3832899,ponta delgada,PT,37.73,-25.67,62.6,93,75,26.4
322,3832899,beringovskiy,RU,63.05,179.32,-3.8,92,89,15.01
323,3832899,inongo,CD,-1.95,18.27,70.93,88,100,6.51
324,3832899,vostok,RU,46.49,135.88,6.15,95,100,4.97
325,3832899,tongliao,CN,43.61,122.27,20.75,93,0,9.31
326,3832899,saint-philippe,RE,-21.36,55.77,80.78,74,0,18.34
327,3832899,kirakira,SB,-10.45,161.92,83.53,68,43,1.88
328,3832899,jadu,LY,31.95,12.03,49.3,100,96,5.37
329,3832899,roma,US,43.21,-75.46,29.28,92,90,5.82
330,3832899,kasongo-lunda,CD,-6.47,16.82,68.74,93,100,1.79
331,3832899,tezu,IN,27.92,96.17,77.04,20,0,3.18
332,3832899,lashio,MM,22.93,97.75,75.58,49,36,4.07
333,3832899,saint anthony,US,45.02,-93.22,35.42,64,90,8.05
334,3832899,progreso,MX,21.28,-89.67,75.09,94,75,7.94
335,3832899,necochea,AR,-38.55,-58.74,48.47,74,1,6.42
336,3832899,mountain home,US,43.13,-115.69,39.2,81,90,6.93
337,3832899,saint simons,US,31.14,-81.39,55.29,100,90,6.93
338,3832899,chiang klang,TH,19.29,100.86,73.4,49,20,6.93
339,3832899,severo-kurilsk,RU,50.68,156.12,26.92,92,91,16.2
340,3832899,zirgan,RU,53.22,55.92,-5.93,86,0,6.24
341,3832899,monteagudo,BO,-19.82,-63.98,59.68,86,100,2.75
342,3832899,paamiut,GL,61.99,-49.67,25.74,94,100,9.66
343,3832899,yulara,AU,-25.24,130.99,86.0,42,40,16.11
344,3832899,ilulissat,GL,69.22,-51.1,17.6,44,100,18.34
345,3832899,maceio,BR,-9.67,-35.74,71.6,94,20,4.7
346,3832899,mutoko,ZW,-17.4,32.23,70.79,83,81,7.34
347,3832899,shakiso,ET,5.75,38.92,65.71,72,22,7.7
348,3832899,moron,AR,-34.65,-58.62,56.44,81,0,3.36
349,3832899,marsa matruh,EG,31.35,27.25,57.2,76,40,4.18
350,3832899,petatlan,MX,17.52,-101.27,73.36,84,69,2.89
351,3832899,almaznyy,RU,48.04,40.05,28.4,92,75,13.42
352,3832899,amga,RU,60.9,131.96,-30.82,83,87,1.19
353,3832899,razole,IN,16.48,81.83,83.52,39,50,4.36
354,3832899,marsh harbour,BS,26.54,-77.06,74.16,78,26,14.54
355,3832899,dunedin,NZ,-45.87,170.5,53.01,92,100,1.01
356,3832899,eyl,SO,7.98,49.82,80.83,64,91,21.12
357,3832899,gallup,US,35.53,-108.74,22.6,62,1,2.1
358,3832899,podor,MR,16.65,-14.96,63.72,29,10,12.5
359,3832899,thinadhoo,MV,0.53,72.93,82.45,73,61,5.03
360,3832899,petropavlovsk-kamchatskiy,RU,53.05,158.65,15.8,56,79,4.47
361,3832899,olean,US,42.08,-78.43,33.35,95,90,5.82
362,3832899,samarai,PG,-10.62,150.67,84.52,71,16,2.73
363,3832899,sambava,MG,-14.27,50.17,80.8,78,38,8.97
364,3832899,slave lake,CA,55.28,-114.77,28.4,68,75,5.82
365,3832899,dingle,PH,11.0,122.67,84.06,74,63,13.85
366,3832899,clyde river,CA,70.47,-68.59,1.4,84,90,17.22
367,3832899,katsuura,JP,35.13,140.3,51.58,23,20,4.7
368,3832899,san patricio,US,28.02,-97.52,52.83,87,1,4.7
369,3832899,cabra,ES,37.47,-4.44,45.0,85,12,3.11
370,3832899,puerto escondido,MX,15.85,-97.07,75.2,78,75,4.7
371,3832899,batagay,RU,67.63,134.63,-45.74,76,53,0.72
372,3832899,gao,ML,16.64,1.64,65.41,27,0,10.69
373,3832899,porto belo,BR,-27.16,-48.55,71.58,93,100,5.77
374,3832899,havre,FR,49.58,0.33,48.2,93,100,16.11
375,3832899,monte alegre,BR,-2.01,-54.07,74.19,90,100,2.98
376,3832899,deniliquin,AU,-35.53,144.97,64.0,72,100,12.35
377,3832899,benguela,AO,-12.58,13.41,75.2,78,75,1.23
